학교구분,학교코드,학교명,본분교,지역,설립구분,학교상태,주소,경도,위도
대학,162,을지대학교,제2캠퍼스,경기,사립,기존,경기도 성남시 수정구 산성대로 553 ,127.165138,37.46097793
대학,163,이화여자대학교,본교,서울,사립,기존,서울특별시 서대문구 이화여대길 52 ,126.9503223,37.56429289
대학,164,인제대학교,본교,경남,사립,기존,경상남도 김해시 인제로 197 ,128.9005159,35.25280548
대학,166,인제대학교,제2캠퍼스,부산,사립,기존,부산광역시 부산진구 복지로 75 ,129.0205714,35.14645087
대학,167,인천가톨릭대학교,제2캠퍼스,인천,사립,기존,인천광역시 연수구 송도문화로120번길 20 ,126.6632247,37.37278253
대학,168,인천가톨릭대학교,본교,인천,사립,기존,인천광역시 강화군 양도면 고려왕릉로 53-1 ,126.4500044,37.65666997
대학,169,인하대학교,본교,인천,사립,기존,인천광역시 미추홀구 인하로 100,126.6515144,37.45141623
대학,170,장로회신학대학교,본교,서울,사립,기존,서울특별시 광진구 광장로5길 25-1 ,127.1033196,37.54988723
대학,171,전주대학교,본교,전북,사립,기존,전라북도 전주시 완산구 천잠로 303 ,127.0888766,35.81616985
대학,172,조선대학교,본교,광주,사립,기존,광주광역시 동구 필문대로 309 ,126.9259287,35.14363921
대학,173,중부대학교,본교,충남,사립,기존,충청남도 금산군 추부면 대학로 201 ,127.4487078,36.19196899
대학,174,중앙대학교,제2캠퍼스,경기,사립,기존,경기도 안성시 대덕면 서동대로 4726 ,127.2287127,37.00042883
대학,175,중앙대학교,본교,서울,사립,기존,서울특별시 동작구 흑석로 84 ,126.9538565,37.50481026
대학,177,중앙승가대학교,본교,경기,사립,기존,경기도 김포시 승가로 147 ,126.7066148,37.60897029
대학,178,백석대학교,본교,충남,사립,기존,충청남도 천안시 동남구 백석대학로 1 ,127.1825128,36.8388347
대학,179,청주대학교,본교,충북,사립,기존,충청북도 청주시 청원구 대성로 298 ,127.4953507,36.65074593
대학,180,총신대학교,본교,서울,사립,기존,서울특별시 동작구 사당로 143 ,126.9667683,37.48792973
대학,181,추계예술대학교,본교,서울,사립,기존,서울특별시 서대문구 북아현로11가길 7 ,126.9540582,37.56315915
대학,182,한국침례신학대학교,본교,대전,사립,기존,대전광역시 유성구 북유성대로 190 ,127.3231024,36.38470503
대학,184,칼빈대학교,본교,경기,사립,기존,경기도 용인시 기흥구 마북로 184 ,127.128679,37.30514621
대학,186,평택대학교,본교,경기,사립,기존,경기도 평택시 서동대로 3825 ,127.133973,36.99463544
대학,187,차의과학대학교,본교,경기,사립,기존,경기도 포천시 해룡로 120 ,127.1375732,37.85592231
대학,188,포항공과대학교,본교,경북,사립,기존,경상북도 포항시 남구 청암로 77 ,129.3213021,36.01058919
대학,189,한국기술교육대학교,본교,충남,사립,기존,충청남도 천안시 동남구 병천면 충절로 1600 ,127.2812012,36.7651027
대학,191,한국성서대학교,본교,서울,사립,기존,서울특별시 노원구 동일로214길 32 ,127.0637511,37.64896114
대학,192,한국외국어대학교,본교,서울,사립,기존,서울특별시 동대문구 이문로 107 ,127.057944,37.59829262
대학,194,한국항공대학교,본교,경기,사립,기존,경기도 고양시 덕양구 항공대학로 76 ,126.8641695,37.59901255
대학,195,한남대학교,본교,대전,사립,기존,대전광역시 대덕구 한남로 70 ,127.420043,36.35553899
대학,196,한동대학교,본교,경북,사립,기존,경상북도 포항시 북구 흥해읍 한동로 558 ,129.3892583,36.10229852
대학,197,한라대학교,본교,강원,사립,기존,강원도 원주시 흥업면 한라대길 28 ,127.9069215,37.30398465
대학,198,한림대학교,본교,강원,사립,기존,강원도 춘천시 한림대학길 1 ,127.734959,37.88543081
대학,199,한서대학교,본교,충남,사립,기존,충청남도 서산시 해미면 한서1로 46 ,126.5869695,36.69071836
